River,Date Sampled,Year,Month,Date as Text,Sampling Conditions,Parameter,Result,Result Less Than or Equal To,Result Unit,Guideline Value,Guideline Unit,Guideline Source
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),op-DDD,< 0.025,0.025,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Terbufos,< 0.053,0.053,ng/ml,,ng/ml,
Montague River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Endosulfan II,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Cypermethrin,< 0.01,0.01,ng/ml,0.069,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Famoxadone,< 0.154,0.154,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Methoxychlor,< 0.025,0.025,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),MCPA-EHE,< 0.026,0.026,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Sulprophos,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Chlorpyrifos,< 0.01,0.01,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Morell River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Dunk River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Linuron,< 0.02,0.02,ng/ml,7,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Cypermethrin,< 0.01,0.01,ng/ml,0.069,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Azinphos-Methyl,< 0.03,0.03,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Morell River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Clothianidin,< 0.01,0.01,ng/ml,0.02,ng/ml,Health Canada Guidance Value
West River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Carbofuran,< 0.02,0.02,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Azoxystrobin,< 0.02,0.02,ng/ml,44,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dieldrin,< 0.026,0.026,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Prometryn,< 0.026,0.026,ng/ml,,ng/ml,
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Metiram,< 1000,1000,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Ethion,< 0.054,0.054,ng/ml,,ng/ml,
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Metribuzin,< 0.03,0.03,ng/ml,1,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Oxyfluorfen,< 0.123,0.123,ng/ml,,ng/ml,
Mill River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Linuron,< 0.02,0.02,ng/ml,7,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Hexazinone,< 0.02,0.02,ng/ml,7,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Difenoconazole,< 0.102,0.102,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Captan,< 0.059,0.059,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorothalonil,< 0.052,0.052,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),beta-BHC,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Metalaxyl,< 0.025,0.025,ng/ml,100,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Propyzamide,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Linuron,< 0.02,0.02,ng/ml,7,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Aldrin,< 0.026,0.026,ng/ml,,ng/ml,
Montague River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Imidacloprid,< 0.02,0.02,ng/ml,0.041,ng/ml,Health Canada Guidance Value
Clyde River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Mancozeb,< 100,100,ng/ml,47,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Azinphos-Methyl,< 0.03,0.03,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Mancozeb,< 100,100,ng/ml,47,ng/ml,USEPA Aquatic Life Benchmark
Montague River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Fludioxonil,< 0.01,0.01,ng/ml,19,ng/ml,USEPA Aquatic Life Benchmark
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Diphenamid,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Butralin,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pyraclostrobin,< 0.156,0.156,ng/ml,,ng/ml,
Mill River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Picoxystrobin,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Clyde River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Imidacloprid,< 0.02,0.02,ng/ml,0.041,ng/ml,Health Canada Guidance Value
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Tribenuron-Methyl,< 0.04,0.04,ng/ml,2,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Rimsulfuron,< 0.02,0.02,ng/ml,11.6,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Metalaxyl,< 0.03,0.03,ng/ml,100,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bromopropylate,< 0.05,0.05,ng/ml,,ng/ml,
Dunk River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorthal-Dimethyl,< 0.025,0.025,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pyrimethanil,< 0.053,0.053,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Butachlor,< 0.082,0.082,ng/ml,,ng/ml,
Winter River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.02,0.02,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pp-Dde,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.02,0.02,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Flupyradifurone,< 0.14,0.14,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),delta-BHC,< 0.153,0.153,ng/ml,,ng/ml,
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Endosulfan II,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Benalaxyl,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dichlobenil,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Winter River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bentazon,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Azoxystrobin,< 0.02,0.02,ng/ml,44,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Tribenuron-Methyl,< 0.04,0.04,ng/ml,2,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Propyzamide,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Cis-Chlordane,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pp-Ddd,< 0.026,0.026,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Prothioconazole-Desthio,< 0.025,0.025,ng/ml,,ng/ml,
Clyde River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Tribenuron-Methyl,< 0.04,0.04,ng/ml,2,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Thifensulfuron-Methyl,< 0.02,0.02,ng/ml,1.59,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Endosulfan II,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Clothianidin,0.0769,0.0769,ng/ml,0.02,ng/ml,Health Canada Guidance Value
Winter River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Hexazinone,< 0.02,0.02,ng/ml,7,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pirimphos-Methyl,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Montague River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pyridaben,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),op-DDD,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Rimsulfuron,< 0.02,0.02,ng/ml,11.6,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Napropamide,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Metribuzin,< 0.03,0.03,ng/ml,1,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
West River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Chlorantraniliprole,< 0.02,0.02,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Endosulfan II,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Sulfentrazone,< 0.504,0.504,ng/ml,,ng/ml,
West River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Endosulfan II,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Ethofumesate,< 0.025,0.025,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Heptachlor,< 0.026,0.026,ng/ml,,ng/ml,
Wilmot River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Rimsulfuron,< 0.02,0.02,ng/ml,11.6,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Tetramethrin I,< 0.025,0.025,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),op-DDD,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Fludioxonil,< 0.01,0.01,ng/ml,19,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorthal-Dimethyl,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Azinphos-Methyl,< 0.03,0.03,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Metconazole,< 0.152,0.152,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dimethoate,< 0.255,0.255,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Morell River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Chlorpyrifos,< 0.01,0.01,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Metalaxyl,< 0.03,0.03,ng/ml,100,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.02,0.02,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
West River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Azoxystrobin,< 0.02,0.02,ng/ml,44,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Sulfoxaflor,< 0.01,0.01,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Procymidon,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Chlorpyrifos,< 0.01,0.01,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Oxyfluorfen,< 0.123,0.123,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dinotefuran,< 0.025,0.025,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Tri-Allate,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pyridaben,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
